disasterType,id,disasterNumber,state,incidentBeginDate,placeCode,declaredCountyArea,incidentType
EM,59af57f78d585ca31f3eb943,3385,FL,2017-09-05T01:00:00.000Z,99007,Bradford (County),Hurricane
EM,59af57f78d585ca31f3eb930,3385,FL,2017-09-05T01:00:00.000Z,99123,Taylor (County),Hurricane
EM,59af57f78d585ca31f3eb92b,3385,FL,2017-09-05T01:00:00.000Z,99077,Liberty (County),Hurricane
EM,59af57f78d585ca31f3eb926,3385,FL,2017-09-05T01:00:00.000Z,99027,DeSoto (County),Hurricane
EM,59af57f78d585ca31f3eb931,3385,FL,2017-09-05T01:00:00.000Z,99133,Washington (County),Hurricane
EM,59af57f78d585ca31f3eb92d,3385,FL,2017-09-05T01:00:00.000Z,99095,Orange (County),Hurricane
EM,59af57f78d585ca31f3eb928,3385,FL,2017-09-05T01:00:00.000Z,99047,Hamilton (County),Hurricane
EM,59af57f78d585ca31f3eb92c,3385,FL,2017-09-05T01:00:00.000Z,99086,Miami-Dade (County),Hurricane
EM,59af57f78d585ca31f3eb927,3385,FL,2017-09-05T01:00:00.000Z,99037,Franklin (County),Hurricane
EM,59af57f78d585ca31f3eb92e,3385,FL,2017-09-05T01:00:00.000Z,99105,Polk (County),Hurricane
EM,59af57f78d585ca31f3eb92f,3385,FL,2017-09-05T01:00:00.000Z,99109,St. Johns (County),Hurricane
EM,59af57f78d585ca31f3eb92a,3385,FL,2017-09-05T01:00:00.000Z,99067,Lafayette (County),Hurricane
EM,59af57f78d585ca31f3eb929,3385,FL,2017-09-05T01:00:00.000Z,99057,Hillsborough (County),Hurricane
EM,59af57f78d585ca31f3eb924,3385,FL,2017-09-05T01:00:00.000Z,99005,Bay (County),Hurricane
EM,59af57f78d585ca31f3eb925,3385,FL,2017-09-05T01:00:00.000Z,99015,Charlotte (County),Hurricane
DR,59b5d37f8d585ca31f3ec57b,4337,FL,2017-09-04T13:00:00.000Z,99131,Walton (County),Hurricane
DR,59b5d37f8d585ca31f3ec57a,4337,FL,2017-09-04T13:00:00.000Z,99121,Suwannee (County),Hurricane
DR,59b5d37f8d585ca31f3ec579,4337,FL,2017-09-04T13:00:00.000Z,99115,Sarasota (County),Hurricane
DR,59b5d37f8d585ca31f3ec578,4337,FL,2017-09-04T13:00:00.000Z,99101,Pasco (County),Hurricane
DR,59b5d37f8d585ca31f3ec577,4337,FL,2017-09-04T13:00:00.000Z,99091,Okaloosa (County),Hurricane
DR,59b5d37f8d585ca31f3ec576,4337,FL,2017-09-04T13:00:00.000Z,99083,Marion (County),Hurricane
DR,59b5d37f8d585ca31f3ec575,4337,FL,2017-09-04T13:00:00.000Z,99073,Leon (County),Hurricane
DR,59b5d37f8d585ca31f3ec574,4337,FL,2017-09-04T13:00:00.000Z,99063,Jackson (County),Hurricane
DR,59b5d37f8d585ca31f3ec573,4337,FL,2017-09-04T13:00:00.000Z,99053,Hernando (County),Hurricane
DR,59b5d37f8d585ca31f3ec572,4337,FL,2017-09-04T13:00:00.000Z,99043,Glades (County),Hurricane
DR,59b5d37f8d585ca31f3ec571,4337,FL,2017-09-04T13:00:00.000Z,99033,Escambia (County),Hurricane
DR,59b5d37f8d585ca31f3ec570,4337,FL,2017-09-04T13:00:00.000Z,99021,Collier (County),Hurricane
DR,59b5d37f8d585ca31f3ec56f,4337,FL,2017-09-04T13:00:00.000Z,99011,Broward (County),Hurricane
DR,59b5d37f8d585ca31f3ec56e,4337,FL,2017-09-04T13:00:00.000Z,99001,Alachua (County),Hurricane
DR,59b5d37f8d585ca31f3ec56d,4337,FL,2017-09-04T13:00:00.000Z,99129,Wakulla (County),Hurricane
DR,59b5d37f8d585ca31f3ec568,4337,FL,2017-09-04T13:00:00.000Z,99081,Manatee (County),Hurricane
DR,59b5d37f8d585ca31f3ec56b,4337,FL,2017-09-04T13:00:00.000Z,99113,Santa Rosa (County),Hurricane
DR,59b5d37f8d585ca31f3ec566,4337,FL,2017-09-04T13:00:00.000Z,99061,Indian River (County),Hurricane
DR,59b5d37f8d585ca31f3ec569,4337,FL,2017-09-04T13:00:00.000Z,99089,Nassau (County),Hurricane
DR,59b5d37f8d585ca31f3ec56c,4337,FL,2017-09-04T13:00:00.000Z,99119,Sumter (County),Hurricane
DR,59b5d37f8d585ca31f3ec567,4337,FL,2017-09-04T13:00:00.000Z,99071,Lee (County),Hurricane
DR,59b5d37f8d585ca31f3ec56a,4337,FL,2017-09-04T13:00:00.000Z,99099,Palm Beach (County),Hurricane
DR,59b5d37f8d585ca31f3ec565,4337,FL,2017-09-04T13:00:00.000Z,99051,Hendry (County),Hurricane
