"lon","lat","tmp_1"
-67.25,-55.75,8.19999980926514
-69.75,-55.25,7.90000009536743
-69.25,-55.25,8.39999961853027
-68.75,-55.25,7.80000019073486
-68.25,-55.25,8.89999961853027
-67.75,-55.25,9.10000038146973
-67.25,-55.25,9
-71.75,-54.75,8.80000019073486
-70.75,-54.75,8.69999980926514
-70.25,-54.75,7.90000009536743
-69.75,-54.75,7.80000019073486
-69.25,-54.75,4.80000019073486
-68.75,-54.75,7.90000009536743
-68.25,-54.75,8.10000038146973
-67.75,-54.75,7.19999980926514
-67.25,-54.75,7.5
-66.75,-54.75,7.30000019073486
-66.25,-54.75,7.30000019073486
-65.75,-54.75,8
-65.25,-54.75,8.5
-64.25,-54.75,8.89999961853027
-36.25,-54.75,2.5
-72.25,-54.25,9.19999980926514
-71.75,-54.25,9.19999980926514
-71.25,-54.25,9
-70.75,-54.25,8.60000038146973
-70.25,-54.25,9.69999980926514
-69.75,-54.25,9.19999980926514
-69.25,-54.25,8.69999980926514
-68.75,-54.25,8.89999961853027
-68.25,-54.25,9.39999961853027
-67.75,-54.25,9.10000038146973
-67.25,-54.25,9.69999980926514
-66.75,-54.25,9.89999961853027
-37.25,-54.25,3.09999990463257
-36.75,-54.25,3
-73.25,-53.75,9.10000038146973
-72.75,-53.75,6.40000009536743
-72.25,-53.75,8.69999980926514
-71.75,-53.75,8.69999980926514
-71.25,-53.75,8.60000038146973
-69.75,-53.75,10.1000003814697
-69.25,-53.75,9.89999961853027
-68.75,-53.75,10.1000003814697
-68.25,-53.75,10.5
-67.75,-53.75,10.6999998092651
-74.25,-53.25,8.80000019073486
-73.25,-53.25,9.39999961853027
-72.75,-53.25,9.30000019073486
-72.25,-53.25,9.10000038146973
-71.75,-53.25,9.10000038146973
-71.25,-53.25,8.89999961853027
-70.25,-53.25,11
-69.75,-53.25,10.6000003814697
-69.25,-53.25,11.1999998092651
-68.75,-53.25,10.3000001907349
-74.75,-52.75,8.60000038146973
-73.75,-52.75,9.69999980926514
-73.25,-52.75,9.19999980926514
-72.75,-52.75,8.89999961853027
-72.25,-52.75,9.60000038146973
-71.75,-52.75,9.80000019073486
-71.25,-52.75,11.1000003814697
-70.75,-52.75,11.5
-70.25,-52.75,11.8000001907349
-69.75,-52.75,11.8999996185303
-69.25,-52.75,11.6000003814697
-68.75,-52.75,11.1000003814697
-74.75,-52.25,8.5
-74.25,-52.25,9.5
-73.75,-52.25,9.69999980926514
-73.25,-52.25,9.89999961853027
-72.75,-52.25,10.3000001907349
-72.25,-52.25,9.60000038146973
-71.75,-52.25,9.60000038146973
-71.25,-52.25,11
-70.75,-52.25,11.1000003814697
-70.25,-52.25,11.6999998092651
-69.75,-52.25,11.6999998092651
-69.25,-52.25,12.1999998092651
-68.75,-52.25,11.8999996185303
-59.75,-52.25,9.69999980926514
-74.75,-51.75,9.60000038146973
-74.25,-51.75,10
-73.75,-51.75,9.89999961853027
-73.25,-51.75,9.30000019073486
-72.75,-51.75,10.6999998092651
-72.25,-51.75,11.6000003814697
-71.75,-51.75,11.6999998092651
-71.25,-51.75,12.1000003814697
-70.75,-51.75,12.1000003814697
-70.25,-51.75,12.8000001907349
-69.75,-51.75,13
-69.25,-51.75,13.1999998092651
-60.25,-51.75,10.3999996185303
-59.75,-51.75,9.60000038146973
-59.25,-51.75,9.89999961853027
-58.75,-51.75,9.19999980926514
-58.25,-51.75,9.19999980926514
-74.75,-51.25,9.5
-74.25,-51.25,10.3999996185303
-73.75,-51.25,10.3999996185303
-73.25,-51.25,10.3999996185303
-72.75,-51.25,11.6000003814697
-72.25,-51.25,11.1999998092651
-71.75,-51.25,11.8999996185303
-71.25,-51.25,12.3000001907349
-70.75,-51.25,12.6000003814697
-70.25,-51.25,13
-69.75,-51.25,13.6000003814697
-69.25,-51.25,13.5
-75.25,-50.75,10.1000003814697
-74.75,-50.75,10.1000003814697
-74.25,-50.75,10.3999996185303
-73.75,-50.75,10.8999996185303
-73.25,-50.75,6.59999990463257
-72.75,-50.75,10.6999998092651
-72.25,-50.75,8
-71.75,-50.75,11.6999998092651
-71.25,-50.75,13.1000003814697
-70.75,-50.75,12.8000001907349
-70.25,-50.75,13
-69.75,-50.75,13.3000001907349
-69.25,-50.75,14.1000003814697
-75.25,-50.25,10
-74.75,-50.25,11
-74.25,-50.25,11.1000003814697
-73.75,-50.25,7.30000019073486
-73.25,-50.25,10.1000003814697
-72.75,-50.25,12.6000003814697
-72.25,-50.25,13.1999998092651
-71.75,-50.25,13.6999998092651
-71.25,-50.25,13.3999996185303
-70.75,-50.25,13.3000001907349
-70.25,-50.25,14.1999998092651
-69.75,-50.25,14.1000003814697
-69.25,-50.25,14
-68.75,-50.25,14.6000003814697
-75.25,-49.75,10.1999998092651
-74.75,-49.75,9.80000019073486
-74.25,-49.75,10.5
-73.75,-49.75,10.1999998092651
-73.25,-49.75,6.09999990463257
-72.75,-49.75,9.80000019073486
-72.25,-49.75,12.8000001907349
-71.75,-49.75,10.5
-71.25,-49.75,12.8000001907349
-70.75,-49.75,12.6000003814697
-70.25,-49.75,13.1000003814697
-69.75,-49.75,14.5
-69.25,-49.75,15.6000003814697
-68.75,-49.75,15.6999998092651
-68.25,-49.75,15.6000003814697
-67.75,-49.75,15.5
-75.25,-49.25,10.5
-74.75,-49.25,9.5
-74.25,-49.25,9.30000019073486
-73.75,-49.25,8.10000038146973
-73.25,-49.25,-0.699999988079071
-72.75,-49.25,9.30000019073486
-72.25,-49.25,10.6000003814697
-71.75,-49.25,12
-71.25,-49.25,13
